38,34,33,34,26,25,24,22,16,18,16,13,15,14,13,17,14,12,11,13,15,14,16,14,13,10,9,10,13,16,15,9,6,8,7,9,8,7,5,7,6,10,14,13,14,17,16,18,12,7,6,3,4,8,9,4,5,3,2,1,3,3,4,4,5,6,6,3,3,4,5,7,7,9,10,16,14,12,12,11,12,10,13,19,17,21,17,15,14,9,11,14,16,20,19,16,16,12,11,6,
39,34,26,29,22,17,18,11,15,14,15,18,15,14,16,19,21,18,18,17,15,16,18,14,10,7,5,7,8,5,5,5,6,8,12,11,8,9,7,6,7,4,7,9,8,12,16,23,14,11,15,21,25,24,25,32,28,34,29,23,20,23,23,23,28,36,22,24,19,20,20,23,24,25,20,22,20,15,20,18,23,25,18,15,14,13,14,14,11,8,11,9,4,5,5,7,6,3,5,4,
47,33,36,33,33,27,34,25,19,16,14,13,12,19,22,18,13,16,16,17,17,21,21,27,26,24,23,20,18,15,12,11,8,7,6,5,8,4,4,5,4,5,4,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,28,29,28,27,32,28,26,22,19,18,16,11,16,13,14,14,10,8,7,10,8,10,18,15,18,16,19,17,17,19,15,12,12,13,14,12,12,13,11,12,9,10,9,7,8,10,13,16,14,17,22,22,24,18,20,17,20,22,23,23,30,24,14,10,6,7,7,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,28,23,19,22,20,22,18,18,24,22,18,14,7,8,9,11,12,12,7,9,8,9,8,8,8,11,12,14,8,10,8,10,11,12,16,14,13,12,11,16,16,10,11,13,13,18,24,26,26,30,28,23,22,22,19,14,16,12,14,12,14,15,20,18,21,22,22,28,22,20,16,19,21,21,24,24,21,29,32,31,31,27,23,23,18,17,11,11,13,9,7,6,5,7,7,3,4,3,1,
32,33,34,31,25,18,26,23,26,20,20,14,19,15,12,14,11,7,4,3,3,4,8,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,3,5,3,3,4,6,6,6,8,10,14,15,8,7,10,9,11,8,8,9,7,8,9,6,7,11,16,12,14,11,11,13,12,11,11,13,22,15,16,19,20,21,23,19,15,18,13,21,23,28,15,13,10,7,10,11,14,14,18,16,
33,22,25,22,21,18,25,20,21,20,20,25,28,25,28,22,17,16,18,21,16,12,11,10,11,15,16,16,24,27,30,24,30,21,16,18,13,16,21,19,20,21,20,16,18,13,17,21,15,14,12,14,10,9,11,14,16,13,10,9,10,11,11,10,10,12,14,11,10,8,8,9,7,7,10,12,9,9,6,8,8,9,8,10,8,11,12,8,11,11,13,16,11,17,10,10,6,11,10,10,
47,37,34,33,32,28,26,25,17,12,15,10,7,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,36,34,30,23,22,16,11,12,14,16,15,13,12,9,7,8,3,4,6,5,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,34,26,17,16,20,18,12,13,10,14,12,12,16,17,15,18,14,18,21,19,25,24,13,7,5,7,7,7,5,5,6,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
