41,28,26,34,39,32,30,33,38,37,43,35,40,47,52,48,42,39,33,28,26,39,39,35,32,32,33,39,36,32,33,36,26,35,37,44,42,28,30,29,38,40,36,44,38,35,29,29,23,28,24,20,18,21,19,29,29,32,26,33,34,50,38,31,33,36,37,34,33,42,38,37,43,35,28,34,31,34,34,36,29,33,38,38,39,42,39,29,35,40,36,37,34,33,43,40,31,34,36,30
52,48,51,50,40,42,34,33,31,37,37,38,34,33,35,31,28,28,41,42,40,30,33,34,37,36,24,27,25,26,28,28,25,36,30,42,34,34,29,22,26,35,27,28,32,36,34,37,41,35,43,44,44,47,54,46,41,43,30,30,33,38,32,36,41,40,38,32,34,40,41,38,35,42,36,28,29,34,35,42,42,38,42,40,43,45,42,31,32,30,42,39,38,31,25,38,35,40,37,41
40,43,37,37,37,52,42,47,39,29,36,32,29,35,40,36,40,44,37,37,42,33,40,33,46,45,46,36,44,40,38,33,33,28,31,33,30,32,31,37,38,36,40,37,32,38,42,48,43,33,37,40,36,43,43,37,35,27,39,41,39,37,35,37,40,37,47,48,44,44,48,53,47,44,41,39,39,32,37,35,35,38,34,36,31,31,30,28,27,24,26,31,27,30,35,36,38,42,30,31
41,45,45,41,37,28,37,37,26,29,25,27,31,26,29,26,33,37,37,34,35,32,37,39,35,34,40,37,34,34,34,29,29,32,34,27,29,37,34,38,39,43,41,42,42,45,36,44,42,42,41,32,38,37,39,39,39,36,32,38,48,36,40,35,35,34,30,31,28,32,33,29,32,32,35,39,40,37,41,40,41,39,33,35,41,38,40,38,45,42,37,38,40,38,42,43,47,45,44,41
48,43,44,34,37,35,35,37,38,39,42,40,37,42,34,39,50,47,47,44,36,36,39,34,31,29,42,40,40,39,29,40,38,32,35,42,39,40,46,43,40,41,41,28,26,22,15,16,24,27,24,30,32,32,35,31,38,39,38,34,31,42,41,40,37,34,34,35,32,35,35,36,34,39,41,28,29,30,25,29,33,27,28,38,35,38,32,35,27,28,27,30,37,35,35,32,28,29,31,26
62,53,48,46,44,37,34,34,41,53,50,42,36,35,33,32,39,36,27,29,29,23,25,32,34,29,25,25,24,28,28,26,29,31,30,37,40,38,41,38,39,40,44,40,32,34,29,31,29,26,23,25,35,33,28,43,43,38,39,42,35,35,35,27,33,35,31,34,41,36,43,30,29,30,27,29,36,34,28,31,24,22,19,20,19,23,32,38,40,32,28,31,34,28,28,21,26,29,36,39
45,36,32,30,36,28,31,29,32,26,25,35,36,35,35,40,36,34,26,35,25,18,25,32,29,30,29,22,22,24,29,33,35,29,25,25,29,25,34,30,37,36,34,36,35,41,41,37,38,44,43,44,40,39,29,29,30,33,30,33,36,37,41,39,34,37,37,39,30,39,35,38,41,50,49,43,42,36,32,32,37,38,39,36,35,37,36,33,30,37,33,29,32,28,22,19,21,16,23,25
56,43,33,37,35,34,33,32,41,31,35,39,40,37,38,34,45,41,40,38,46,45,38,27,35,43,37,45,31,30,37,44,33,40,41,45,34,36,41,43,52,46,32,38,40,44,31,35,29,35,34,37,35,39,41,36,32,37,39,39,48,44,40,41,33,34,36,38,41,35,33,36,33,39,46,42,43,41,37,29,36,33,30,34,33,38,47,38,42,37,36,40,39,42,33,37,36,30,28,29
39,32,28,32,30,27,23,32,38,31,32,31,34,42,36,34,37,28,28,32,34,32,38,34,41,35,33,33,44,40,43,35,43,42,45,43,38,33,31,34,41,37,36,43,42,42,36,37,37,38,38,31,33,35,35,33,36,44,34,36,27,37,31,35,42,41,39,36,26,28,32,44,37,36,29,26,30,27,24,24,29,36,37,35,38,41,30,35,38,33,24,29,28,30,21,24,30,27,28,30
49,40,36,37,35,30,26,26,25,27,37,43,44,34,32,26,29,33,38,34,34,30,29,21,22,30,26,25,38,35,32,32,30,28,32,32,37,40,36,41,42,40,35,39,36,35,30,33,34,46,39,34,31,34,34,34,36,43,37,33,31,34,24,24,30,35,31,29,33,41,33,31,39,25,27,26,29,27,25,31,40,42,44,39,41,40,40,39,27,26,28,22,31,40,31,29,24,23,24,24
41,40,35,36,31,39,38,38,37,38,34,45,44,43,43,30,34,31,27,30,37,40,32,37,35,31,27,26,31,32,37,41,43,46,38,36,38,35,40,35,38,40,36,33,26,31,32,36,43,34,28,29,26,26,30,41,36,46,44,34,29,33,41,41,38,39,38,43,34,40,39,32,34,31,25,21,25,22,25,24,26,23,33,35,33,32,36,36,38,34,27,29,31,35,36,35,37,32,34,31
43,39,35,31,31,34,36,33,42,40,34,26,33,32,36,27,22,22,23,24,35,43,39,34,36,37,35,35,41,38,33,35,35,34,36,39,37,42,32,29,30,31,43,48,48,42,30,31,35,33,35,31,27,35,33,37,31,37,37,36,43,34,27,37,39,31,44,39,32,29,26,23,28,35,38,40,37,35,34,37,38,33,32,36,36,37,34,31,32,34,33,40,40,42,42,39,42,39,45,31
40,39,41,43,32,29,28,35,44,37,38,40,44,51,48,49,53,36,28,39,41,40,36,37,37,44,40,34,39,36,35,33,22,28,27,34,33,25,28,36,29,37,37,33,35,35,35,31,32,25,32,34,28,26,28,28,31,35,41,39,44,45,43,39,35,44,49,42,37,32,33,33,34,30,34,35,29,28,28,34,39,51,42,34,31,31,26,29,28,31,40,34,35,29,35,38,34,44,37,37
40,41,37,41,42,39,40,41,49,47,44,44,41,35,28,29,29,31,41,32,30,24,24,33,30,27,35,29,31,35,27,34,44,34,34,31,35,35,37,37,45,43,42,38,49,45,36,31,36,33,30,23,26,31,35,31,32,37,29,32,36,36,48,44,41,41,41,46,45,45,43,35,36,41,33,38,31,25,34,39,31,34,25,22,27,28,26,24,21,13,14,17,18,20,20,20,22,27,30,33
51,37,31,29,25,26,36,34,31,39,37,37,36,31,39,36,37,28,31,34,41,36,38,32,29,36,33,31,26,27,36,39,44,42,45,45,39,33,42,37,33,28,36,41,41,48,39,31,32,33,32,29,18,21,27,20,22,18,19,20,28,34,36,35,37,37,38,33,33,42,42,36,43,38,37,35,36,44,45,38,39,35,32,32,30,33,30,40,46,40,38,38,39,34,36,29,45,37,41,47
50,42,42,48,43,51,46,51,45,46,42,46,51,48,40,26,24,30,30,37,39,43,37,41,38,42,40,31,38,39,43,49,38,39,39,33,35,33,32,36,41,34,34,38,32,31,28,36,42,47,46,53,48,41,41,43,34,31,23,23,31,34,34,32,34,33,33,41,36,37,33,37,37,36,35,35,36,35,31,37,31,35,34,33,30,35,27,25,27,30,34,32,38,32,39,42,40,33,34,36
49,48,41,47,39,39,40,31,40,44,40,48,50,46,41,44,48,42,31,29,33,41,41,43,44,47,39,34,40,34,40,36,36,34,35,32,32,24,23,27,31,36,39,32,26,28,35,33,34,36,40,35,46,45,44,36,32,28,27,28,25,30,29,33,31,44,48,40,33,39,42,46,42,45,33,28,29,35,36,37,30,27,29,36,37,36,32,33,37,37,39,36,32,28,36,40,35,34,31,29
34,35,30,37,40,32,37,34,32,37,40,35,39,38,33,36,31,39,33,42,41,35,33,33,32,34,27,31,27,28,29,31,29,33,35,26,23,19,15,20,17,14,19,30,36,36,35,36,42,37,32,38,32,31,33,31,33,29,30,31,38,33,39,38,32,39,44,48,36,36,30,28,34,40,34,27,35,37,40,39,31,34,35,36,37,35,31,29,32,38,36,35,34,30,35,42,42,40,26,24
39,37,35,37,36,45,37,39,42,35,38,35,33,33,25,30,31,36,37,35,39,39,36,33,39,41,47,33,36,43,42,35,30,33,34,25,29,30,32,32,25,33,39,40,47,47,42,40,33,39,35,40,36,40,40,40,32,32,27,31,38,34,24,27,33,34,29,32,28,34,29,32,34,32,33,30,30,25,22,29,25,32,33,41,35,34,34,40,31,34,29,38,32,29,33,34,45,46,39,26
43,43,33,28,33,33,35,39,42,41,36,40,40,33,29,31,31,31,21,24,30,36,36,35,30,23,32,33,33,23,27,31,25,25,26,30,27,26,34,37,33,33,32,27,28,32,30,37,35,36,34,39,46,46,37,40,32,24,19,16,18,16,16,23,23,21,14,16,27,22,19,26,31,31,36,35,30,29,27,30,28,27,24,35,44,46,43,43,43,34,33,33,25,32,32,38,34,33,27,32
43,44,44,38,38,35,31,35,35,33,25,28,30,36,39,43,38,28,35,38,38,45,31,29,31,32,34,33,35,39,40,35,37,38,39,39,37,30,35,28,28,35,39,34,31,29,30,30,31,35,36,34,30,32,36,38,41,31,36,33,36,35,46,38,31,34,30,29,30,32,26,34,41,39,34,44,46,45,50,45,36,37,31,33,30,25,23,29,32,35,35,38,41,47,40,45,41,45,41,40
40,39,36,35,35,38,41,44,43,45,36,36,34,37,38,39,31,34,30,28,28,34,39,38,39,34,35,39,30,33,28,29,27,31,30,34,30,34,31,38,34,33,36,40,33,28,29,30,30,26,28,29,27,40,39,32,36,35,35,34,43,39,37,42,45,39,35,40,36,30,35,41,42,48,36,36,33,35,40,35,39,38,37,35,38,38,36,24,31,32,29,36,33,32,27,30,28,32,36,34
45,42,40,38,37,30,29,29,39,36,32,34,40,42,48,48,45,42,31,38,48,38,31,35,35,37,31,29,25,21,19,26,34,34,34,44,39,29,31,28,26,32,24,24,22,20,36,37,32,44,40,30,36,37,30,33,36,30,23,25,24,29,34,36,37,41,44,32,33,32,20,29,30,32,29,28,29,38,30,31,32,36,41,47,47,47,36,39,37,37,41,37,28,30,24,25,30,32,28,22
40,38,48,40,45,46,43,43,51,44,37,36,36,37,43,39,37,30,33,33,31,32,35,35,33,30,34,35,30,32,37,37,37,34,32,27,30,29,38,40,39,42,46,39,34,35,32,31,28,29,36,34,39,39,41,43,38,33,30,37,37,43,43,35,31,36,33,24,22,25,28,32,31,31,36,30,29,30,39,31,27,36,31,36,36,33,34,35,36,36,31,35,32,30,38,33,32,32,33,26
