0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,142.2
0.52,284.7
0.53,629
0.54,690.1
0.55,935.1
0.56,1062.9
0.57,1140.4
0.58,1410.3
0.59,1536.6
0.6,1637
0.61,1802.9
0.62,1881.2
0.63,2050.6
0.64,2189
0.65,2274.4
0.66,2455.1
0.67,2549.7
0.68,2638.9
0.69,2754.5
0.7,2856.2
0.71,2961.7
0.72,3050.4
0.73,3135.9
0.74,3239.1
0.75,3303.8
0.76,3407.8
0.77,3506.8
0.78,3553.7
0.79,3697.4
0.8,3736.9
0.81,3814.1
0.82,3916.7
0.83,3968.1
0.84,4068.7
0.85,4097.1
0.86,4175.2
0.87,4236.8
0.88,4318.5
0.89,4344.3
0.9,4455.2
0.91,4521.1
0.92,4557.9
0.93,4634.2
0.94,4687.5
0.95,4747.4
0.96,4819.2
0.97,4854.6
0.98,4911.3
0.99,4943.3
